GEOID,County_Name,Region,shore-Adjacent
26013,Baraga,Great Lakes,1
26017,Bay,Great Lakes,1
26019,Benzie,Great Lakes,1
26021,Berrien,Great Lakes,1
26029,Charlevoix,Great Lakes,1
26031,Cheboygan,Great Lakes,1
26033,Chippewa,Great Lakes,1
26041,Delta,Great Lakes,1
26047,Emmet,Great Lakes,1
26053,Gogebic,Great Lakes,1
26055,Grand Traverse,Great Lakes,1
26061,Houghton,Great Lakes,1
26063,Huron,Great Lakes,1
26069,Iosco,Great Lakes,1
26083,Keweenaw,Great Lakes,1
26089,Leelanau,Great Lakes,1
26095,Luce,Great Lakes,1
26097,Mackinac,Great Lakes,1
26099,Macomb,Great Lakes,1
26101,Manistee,Great Lakes,1
26103,Marquette,Great Lakes,1
26105,Mason,Great Lakes,1
26109,Menominee,Great Lakes,1
26115,Monroe,Great Lakes,1
26121,Muskegon,Great Lakes,1
26127,Oceana,Great Lakes,1
26131,Ontonagon,Great Lakes,1
26139,Ottawa,Great Lakes,1
26141,Presque Isle,Great Lakes,1
26145,Saginaw,Great Lakes,0
26147,St. Clair,Great Lakes,1
26151,Sanilac,Great Lakes,1
26153,Schoolcraft,Great Lakes,1
26157,Tuscola,Great Lakes,1
26159,Van Buren,Great Lakes,1
26163,Wayne,Great Lakes,1
27031,Cook,Great Lakes,1
27075,Lake,Great Lakes,1
27137,St. Louis,Great Lakes,1
28045,Hancock,Gulf of Mexico,1
28047,Harrison,Gulf of Mexico,1
28059,Jackson,Gulf of Mexico,1
33015,Rockingham,Northeast,1
33017,Strafford,Northeast,0
34001,Atlantic,Mid-Atlantic,1
34003,Bergen,Mid-Atlantic,1
34005,Burlington,Mid-Atlantic,0
34007,Camden,Mid-Atlantic,1
34009,Cape May,Mid-Atlantic,1
34011,Cumberland,Mid-Atlantic,1
34013,Essex,Mid-Atlantic,1
34015,Gloucester,Mid-Atlantic,1
34017,Hudson,Mid-Atlantic,1
34023,Middlesex,Mid-Atlantic,1
34025,Monmouth,Mid-Atlantic,1
34029,Ocean,Mid-Atlantic,1
34033,Salem,Mid-Atlantic,1
34035,Somerset,Mid-Atlantic,0
34039,Union,Mid-Atlantic,1
36001,Albany,Mid-Atlantic,0
36005,Bronx,Mid-Atlantic,1
36011,Cayuga,Great Lakes,1
36013,Chautauqua,Great Lakes,1
36027,Dutchess,Mid-Atlantic,0
36029,Erie,Great Lakes,1
36045,Jefferson,Great Lakes,1
36047,Kings,Mid-Atlantic,1
36055,Monroe,Great Lakes,1
36059,Nassau,Mid-Atlantic,1
36061,New York,Mid-Atlantic,1
36063,Niagara,Great Lakes,1
36071,Orange,Mid-Atlantic,0
36073,Orleans,Great Lakes,1
36075,Oswego,Great Lakes,1
36079,Putnam,Mid-Atlantic,0
36081,Queens,Mid-Atlantic,1
36085,Richmond,Mid-Atlantic,1
36087,Rockland,Mid-Atlantic,0
36089,St. Lawrence,Great Lakes,0
36103,Suffolk,Mid-Atlantic,1
36111,Ulster,Mid-Atlantic,0
36117,Wayne,Great Lakes,1
36119,Westchester,Mid-Atlantic,1
37013,Beaufort,Southeast,1
37015,Bertie,Southeast,1
37019,Brunswick,Southeast,1
37029,Camden,Southeast,1
37031,Carteret,Southeast,1
37041,Chowan,Southeast,1
37049,Craven,Southeast,1
37053,Currituck,Southeast,1
37055,Dare,Southeast,1
37073,Gates,Southeast,0
37091,Hertford,Southeast,0
37095,Hyde,Southeast,1
37129,New Hanover,Southeast,1
37133,Onslow,Southeast,1
37137,Pamlico,Southeast,1
37139,Pasquotank,Southeast,1
37141,Pender,Southeast,1
37143,Perquimans,Southeast,1
37177,Tyrrell,Southeast,1
37187,Washington,Southeast,1
39007,Ashtabula,Great Lakes,1
39035,Cuyahoga,Great Lakes,1
39043,Erie,Great Lakes,1
39085,Lake,Great Lakes,1
39093,Lorain,Great Lakes,1
39095,Lucas,Great Lakes,1
39123,Ottawa,Great Lakes,1
39143,Sandusky,Great Lakes,1
39173,Wood,Great Lakes,0
41007,Clatsop,West,1
41009,Columbia,West,1
41011,Coos,West,1
41015,Curry,West,1
41019,Douglas,West,1
41039,Lane,West,1
41041,Lincoln,West,1
41051,Multnomah ,West,1
41057,Tillamook,West,1
42017,Bucks,Mid-Atlantic,0
42045,Delaware,Mid-Atlantic,1
42049,Erie,Great Lakes,1
42101,Philadelphia,Mid-Atlantic,1
44001,Bristol,Northeast,1
44003,Kent,Northeast,1
44005,Newport,Northeast,1
44007,Providence,Northeast,1
44009,Washington,Northeast,1
45013,Beaufort,Southeast,1
45015,Berkeley,Southeast,0
45019,Charleston,Southeast,1
45029,Colleton,Southeast,1
45035,Dorchester,Southeast,0
45043,Georgetown,Southeast,1
45051,Horry,Southeast,1
45053,Jasper,Southeast,1
48007,Aransas,Gulf of Mexico,1
48039,Brazoria,Gulf of Mexico,1
48057,Calhoun,Gulf of Mexico,1
48061,Cameron,Gulf of Mexico,1
48071,Chambers,Gulf of Mexico,1
48167,Galveston,Gulf of Mexico,1
48201,Harris,Gulf of Mexico,1
48239,Jackson,Gulf of Mexico,1
48245,Jefferson,Gulf of Mexico,1
48261,Kenedy,Gulf of Mexico,1
48273,Kleberg,Gulf of Mexico,1
48321,Matagorda,Gulf of Mexico,1
48355,Nueces,Gulf of Mexico,1
48361,Orange,Gulf of Mexico,0
48391,Refugio,Gulf of Mexico,1
48409,San Patricio,Gulf of Mexico,1
48469,Victoria,Gulf of Mexico,1
48489,Willacy,Gulf of Mexico,1
51001,Accomack,Mid-Atlantic,1
51013,Arlington,Mid-Atlantic,0
51033,Caroline,Mid-Atlantic,0
51036,Charles City,Mid-Atlantic,0
51041,Chesterfield,Mid-Atlantic,0
51057,Essex,Mid-Atlantic,1
51059,Fairfax,Mid-Atlantic,0
51073,Gloucester,Mid-Atlantic,1
51085,Hanover,Mid-Atlantic,0
51087,Henrico,Mid-Atlantic,0
51093,Isle of Wight,Mid-Atlantic,1
51095,James City,Mid-Atlantic,1
51097,King and Queen,Mid-Atlantic,0
51099,King George,Mid-Atlantic,1
51101,King William,Mid-Atlantic,0
51103,Lancaster,Mid-Atlantic,1
51115,Mathews,Mid-Atlantic,1
51119,Middlesex,Mid-Atlantic,1
51127,New Kent,Mid-Atlantic,0
51131,Northampton,Mid-Atlantic,1
51133,Northumberland,Mid-Atlantic,1
51149,Prince countygeorge,Mid-Atlantic,0
51153,Prince William,Mid-Atlantic,0
